OGF_ID,OFFICIAL_NAME,PARK_OR_RESERVE_IDENT,REGULATED_IND,LOCATION_ACCURACY,LOCATION_DESCR,GEOG_UNIT_DESCR,SENSITIVITY_CLASS,SENSITIVITY_DATE,SENSITIVITY_RATIONALE,SENS_RATIONALE_OTHER_DESCR,VERIFICATION_STATUS_FLG,VERIFICATION_STATUS_DATE,BUSINESS_EFF_DATE_FLG,BUSINESS_EFFECTIVE_DATE,BUSINESS_EXPIRY_DATE,SYSTEM_CALCULATED_AREA,SYSTEM_CALCULATED_LENGTH,USER_CALCULATED_METRIC,GENERAL_COMMENTS,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
1200809226,Potential Rouge Park North of Steeles,176331714860419,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 4, Lot 18,19",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 12:19:18+00,,21705,,0,,,1998/11/23 12:50:05+00,2004/01/08 16:22:27+00,1,0,0
1200809260,Potential Rouge Park North of Steeles,176298254859276,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 3, Lot 17-20",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 13:41:17+00,,1479656,,0,,,1998/11/23 12:50:18+00,2004/01/08 16:22:27+00,2,0,0
1200809224,Potential Rouge Park North of Steeles,176333854860046,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 5, Lot 17,18",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 12:18:12+00,,8988,,0,,,1998/11/23 12:50:04+00,2004/01/08 16:22:27+00,3,0,0
1200809270,Potential Rouge Park North of Steeles,176374034866285,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 7, Lot 26-29",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 13:55:36+00,,3141767,,0,,,1998/11/23 12:50:22+00,2004/01/08 16:22:27+00,4,0,0
1200809264,Potential Rouge Park North of Steeles,176384404867146,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 8, Lot 30",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 13:54:04+00,,11976,,0,,,1998/11/23 12:50:20+00,2004/01/08 16:22:27+00,5,0,0
1201713352,King Township Property 4,King-4,No,Within 10 metres,"York Region, King Township, Pt Lots 7 to 9, Conc. 4",Property Owner - King Township,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,2002/05/21 00:00:00+00,Estimated,2002/05/21 00:00:00+00,,219565.641,,0,,,2002/05/21 08:52:24+00,2004/01/08 16:22:27+00,6,0,0
1201713337,Richmond Hill Property 2,RH-2,No,Within 10 metres,"York Region, Town of Richmond Hill, Pt Lot 64, Conc 1 West of Yonge",Property Owner - Town of Richmond Hill,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,2002/05/17 00:00:00+00,Estimated,2002/05/17 00:00:00+00,,75263.543,,0,,,2002/05/17 14:29:36+00,2004/01/08 16:22:27+00,7,0,0
1200809239,Potential Rouge Park North of Steeles,176307124865366,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 4, Lot 31-33",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 13:00:52+00,,1241592,,0,,,1998/11/23 12:50:10+00,2004/01/08 16:22:27+00,8,0,0
1200809234,Potential Rouge Park North of Steeles,176335564864032,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 5, Lot 26-31",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 12:47:43+00,,2591345,,0,,,1998/11/23 12:50:08+00,2004/01/08 16:22:27+00,9,0,0
1200809116,Potential Rouge Park North of Steeles,176378264865229,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 7, Lot 26",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/01 00:00:00+00,Estimated,1998/05/01 08:16:39+00,,815473,,0,,,1998/11/23 12:49:23+00,2004/01/08 16:22:27+00,10,0,0
