OGF_ID,PROTECTED_SITE_IDENT,PROTECTED_AREA_NAME_ENG,PROTECTED_AREA_NAME_FR,PROTECTED_AREA_NAME_OJIBWA,PROTECTED_AREA_NAME_OJI_CREE,PROTECTED_AREA_NAME_CREE,TYPE_ENG,TYPE_FR,STATUS_ENG,STATUS_FR,COMMON_SHORT_NAME,IUCN_CATEGORY,REGULATION_DATE,REGULATION_NUMBER,REGULATED_AREA,OPERATING_STATUS_IND,PROVINCIAL_PARK_CLASS_ENG,PROVINCIAL_PARK_CLASS_FR,NSUID,PARENTID,OWNER_ENG,OWNER_FR,MANAGEMENT_ENG,MANAGEMENT_FR,LOCATION_ENG,LOCATION_FR,LEGISLATION,PROTDATE,URL,M_AREA,PROV_PARK_ADMIN_ZONE_ID,CLUSTER_NAME,SYSTEM_CALCULATED_AREA,GENERAL_COMMENTS,OVERLAY_IND,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
67490798,P1915,ALGONQUIN PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,ALGONQUIN,II,1993/06/29 00:00:00+00,386/93,772300,Yes,Natural Environment,Environnement naturel,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1893,www.ontarioparks.com/english/,,66563680,Algonquin Park Cluster (Algonquin Zone),7634656119.173,,No,,2017/07/12 09:32:22+00,2021/04/27 22:18:56+00,29457,0,0
49000212,P221,MATINENDA PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,MATINENDA   ,II,2003/05/22 00:00:00+00,210/03,28758,No,Natural Environment,Environnement naturel,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",2003,www.ontarioparks.com/english/,,66563676,Mississagi/Spanish River Cluster (Northeast Zone),287584001.307,,No,,2015/11/12 11:13:19+00,2021/04/29 16:59:25+00,35521,0,0
49000222,P317,NOGANOSH LAKE PROVINCIAL PARK (WATERWAY CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,NOGANOSH LAKE    ,II,2003/06/28 00:00:00+00,238/03,3082,No,Waterway,Voie navigable,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",2003,www.ontarioparks.com/english/,,66563676,Grundy Lake Cluster (Northeast Zone),30821540.428,,No,,2015/11/12 11:13:18+00,2021/04/29 16:59:25+00,35553,0,0
963764,P391,LAKE ST. PETER PROVINCIAL PARK (RECREATIONAL CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,LAKE ST. PETER  ,II,1989/05/08 00:00:00+00,256/89,478.16,Yes,Recreational,Loisirs,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1971,www.ontarioparks.com/english/,,66563681,Silent Lake Cluster (Southeast Zone),4475710.86,,No,2015/07/28 12:22:49+00,2017/07/11 16:21:56+00,2021/04/29 16:59:25+00,35569,0,0
67389178,P1569,GROUNDHOG RIVER WATERWAY PROVINCIAL PARK (WATERWAY CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,GROUNDHOG RIVER WATERWAY,II,2006/06/20 00:00:00+00,331/06,11036,No,Waterway,Voie navigable,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",2006,www.ontarioparks.com/english/,,66563676,Cochrane Cluster (Northeast Zone),110365051.813,,No,,2015/11/12 11:13:19+00,2021/04/29 16:59:25+00,35585,0,0
68961145,P4485,SAUBLE FALLS PROVINCIAL PARK (RECREATIONAL CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,SAUBLE FALLS,II,1971/12/31 00:00:00+00,114/71,20.24,Yes,Recreational,Loisirs,0,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1971,www.ontarioparks.com/english/,,66563682,MacGregor Point Cluster (Southwest Zone),185918.863,,No,,2017/07/11 16:26:32+00,2021/04/29 16:59:25+00,35601,0,0
49000201,P1513,PUKASKWA RIVER PROVINCIAL PARK (WATERWAY CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,PUKASKWA RIVER    ,II,2002/11/22 00:00:00+00,311/02,1465,No,Waterway,Voie navigable,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",2002,www.ontarioparks.com/english/,,66563677,White Lake Cluster (Northwest Zone),14624919.015,OHN Edit,No,2015/11/25 16:38:18+00,2019/12/20 16:53:52+00,2021/04/29 16:59:25+00,35617,0,0
963859,P2295e,SANDBAR LAKE PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,SANDBAR LAKE   ,II,2003/05/22 00:00:00+00,210/03,8053,Yes,Natural Environment,Environnement naturel,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1970,www.ontarioparks.com/english/,,66563677,Dryden Cluster (Northwest Zone),80528571.747,,No,,2015/11/12 11:13:17+00,2021/04/29 16:59:25+00,35633,0,0
963793,P4467,MENZEL CENTENNIAL PROVINCIAL PARK (NATURE RESERVE CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,MENZEL CENTENNIAL  ,Ia,2012/05/18 00:00:00+00,95/12,914,No,Nature Reserve,Réserve naturelle,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1997,www.ontarioparks.com/english/,,66563681,Sharbot Lake Cluster (Southeast Zone),5974900.118,,No,2012/07/17 10:05:50+00,2015/11/12 11:13:17+00,2021/04/29 16:59:25+00,35649,0,0
963703,P4499,EAST SISTER ISLAND PROVINCIAL PARK (NATURE RESERVE CLASS),,,,,Provincial Park,Parc provincial,Regulated Provincial Park,Parc provincial réglementé,EAST SISTER ISLAND  ,Ia,1976/12/31 00:00:00+00,174/76,53.02,No,Nature Reserve,Réserve naturelle,,,Province of Ontario,La Province de l'Ontario,Ontario Parks,Parcs Ontario,Ontario,Ontario,"Provincial Parks and Conservation Reserves Act, 2006",1976,www.ontarioparks.com/english/,,66563682,Wheatley Cluster (Southwest Zone),447868.622,,No,,2017/07/11 16:45:23+00,2021/04/29 16:59:25+00,35665,0,0
